Price,Adj Close,Close,High,Low,Open,Volume,20_SMA,50_SMA,ATR,ADX,Regime
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,
Date,,,,,,,,,,,
2023-09-28,19523.55078125,19523.55078125,19766.650390625,19492.099609375,19761.80078125,352800,19766.8201171875,19629.4641796875,144.67885044642858,47.81965945170811,Trending
2023-09-29,19638.30078125,19638.30078125,19726.25,19551.05078125,19581.19921875,243500,19786.0451171875,19625.5671875,147.18596540178572,46.689315122130644,Trending
2023-10-03,19528.75,19528.75,19623.19921875,19479.650390625,19622.400390625,221700,19790.717578125,19616.5591796875,147.23939732142858,47.41272746610523,Trending
2023-10-04,19436.099609375,19436.099609375,19457.80078125,19333.599609375,19446.30078125,277100,19786.08251953125,19610.381171875,142.13239397321428,49.681693174602934,Trending
2023-10-05,19545.75,19545.75,19576.94921875,19487.30078125,19521.849609375,234900,19784.625,19607.8491796875,137.62151227678572,49.96323343733809,Trending
2023-10-06,19653.5,19653.5,19675.75,19589.400390625,19621.19921875,159100,19786.7474609375,19607.3071875,134.91782924107142,48.217304272876454,Trending
2023-10-09,19512.349609375,19512.349609375,19588.94921875,19480.5,19539.44921875,165100,19776.01240234375,19601.9881640625,136.03920200892858,47.581232213484896,Trending
2023-10-10,19689.849609375,19689.849609375,19717.80078125,19565.44921875,19565.599609375,216600,19769.507421875,19602.5871484375,141.23214285714286,46.06228591087869,Trending
2023-10-11,19811.349609375,19811.349609375,19839.19921875,19756.94921875,19767.0,213700,19760.257421875,19605.893125,134.83565848214286,44.37985121968544,Trending
2023-10-12,19794.0,19794.0,19843.30078125,19772.650390625,19822.69921875,217900,19750.2974609375,19606.697109375,129.9677734375,42.108507138546074,Trending
2023-10-13,19751.05078125,19751.05078125,19805.400390625,19635.30078125,19654.55078125,255000,19734.35,19607.047109375,132.03557477678572,40.924210719645444,Trending
2023-10-16,19731.75,19731.75,19781.30078125,19691.849609375,19737.25,181000,19715.78251953125,19611.15109375,128.95354352678572,40.75600975403736,Trending
2023-10-17,19811.5,19811.5,19849.75,19775.650390625,19843.19921875,185800,19696.7400390625,19619.7480859375,129.82491629464286,40.111474411627015,Trending
2023-10-18,19671.099609375,19671.099609375,19840.94921875,19659.94921875,19820.44921875,198900,19673.62998046875,19622.830078125,130.13211495535714,40.25988355349171,Trending
